VoterID,FirstName,LastName,DateOfBirth,Address,City,County,State,ZipCode
81060,Ian,Thompson,1961-09-18,7114 Ashley Fields Apt. 080,North Jamiemouth,Forrest,MS,18491
10118,Jennifer,Zhang,2003-04-27,477 Clayton Haven Apt. 033,East Samanthaside,Forrest,MS,32398
18171,Robert,Baxter,1979-04-27,776 Aaron Corner,Davidview,Forrest,MS,19456
30067,Amy,Moore,1983-05-19,0127 Cardenas Mount Suite 754,Ramirezberg,Forrest,MS,93153
88253,Sylvia,Stephenson,1953-09-13,8565 Joshua Crossroad,East Vicki,Forrest,MS,26639
68657,Susan,Fisher,1939-04-11,41037 Haney Meadow Apt. 808,Johnsonshire,Forrest,MS,63793
26536,Jennifer,Perkins,1951-01-13,080 Carmen Loaf Suite 658,Bowersstad,Forrest,MS,73936
61439,Troy,Johnson,1998-05-14,552 Eric Glens Suite 190,Vanceland,Forrest,MS,38561
77041,Calvin,Jackson,2004-08-05,0476 Robinson Village Suite 838,Susanland,Forrest,MS,39035
35019,Austin,Rodriguez,1946-09-08,4492 Ronald Street Suite 895,Matthewsborough,Forrest,MS,39585
74726,Eric,Andrews,1946-06-02,85767 William Cape Apt. 167,Beckyburgh,Forrest,MS,97280
78975,Sara,Bowman,1960-03-10,08997 Byrd Locks,Reneehaven,Forrest,MS,70075
13021,Laurie,Payne,1974-12-14,70656 William Crossing,Kimberlymouth,Forrest,MS,80806
56799,Charles,Moore,1981-08-06,2099 Amber Ridges Suite 068,New Sabrina,Forrest,MS,24172
24894,Tara,Robinson,1981-10-22,85871 Desiree Mountains,West Danielle,Forrest,MS,32068
71252,Beverly,Hernandez,1948-11-14,13956 Stafford Stream,Port Jacquelineport,Forrest,MS,78396
61569,Joseph,Friedman,1987-07-01,59038 Scott Inlet,Johnchester,Forrest,MS,77646
20220,Sharon,Bentley,1978-10-10,256 Torres Rue Apt. 629,Isabelport,Forrest,MS,77382
